,Date,Reviews,Rating,Location
10,2023-03-31,"✅ Trip Verified | Boarding at Mumbai was chaotic and badly organised. Once on board the crew announcements were professional, relaxed and informative in typical BA style. The seat was quite comfortable. It was a refurbished aircraft and the padding and materials are quite good. I was lucky that the middle seat was empty so I didn’t suffer from the new narrow seat which I think would have made it a lot less comfortable. The IFE is excellent, responsive and good quality. There is an enormous selection of TV and movies and a good number of games. WIFI is also very good not quite Netflix quality but still reasonable and I don’t think £17.99 for full flight is bad value. You can pay less if you just want short term simple messaging. Cabin crew were very good. Friendly and efficient. Catering was reasonable although on a near 10hr flight, the small (but tasty) pastry for the second meal service wasn’t really enough. Landing and processing at Heathrow was astonishingly quick - it felt like it was 3am, even though it was 6:30pm! No queues or waiting at all. Even the baggage was super quick at coming through. Overall a very solid experience in economy. Significantly better than it used to be.",9,United Kingdom
11,2023-03-30,"Not Verified | Mexico City Airport is a zoo, but taking the late departure on BA to LHR isn't too bad. Club passengers can use the AA Admirals Lounge, which is surprisingly good and not too busy as it seems to cater to BA's club passengers only at this time of day. Lovely staff, solid food & bar, really pleasant. We flew an older 787 with the old style club seats. Seated in the front cabin (just 3 rows of club) in the window and adjecant aisle seat is really good if you travel with your partner. Come to think of it, I will really miss this old style -once cutting edge- lay-out. There is no better way to fly when you are a couple. We were in that last row of the front cabin so both window and aisle seat had unobstructed access to the aisle. Still terrible you have to pay for these seats, but it obvioulsy works and we were happy getting these seats. Flying BA when the crew is good is amazing. Service was impecable on this flight. Just the right mix of humor, service and attention. Food seemed to be good as well, but hardly touched it. I am fine sleeping in these old club world seats although bedding could be better. On time departure, smooth flight and early arrival at Heathrow. We went outside for a smoke and returned to the terminal through fast track. Security at LHR has always been terrible, but today security staff was too busy chatting among themselves so all bags went through without 'secundary' checks. We had a lovely shower at the 'spa', what a fabulous facility. The South Lounge was crazy busy and it is just a design disaster. Who ever choose the bizarre combination of furniture: what a mess! Food on offer was solid and so are the drinks. Our home stretch to Amsterdam was pretty straight forward. Lousy welcome at the door but crew recovered well and made everyone feel special with excellent bar-cart service. I love the 'double'-servings of drinks. English tea is about the worst meal concepts in the world and I really don't understand BA stuck to it through the years. No-one like the cucumber white bread things, but hey... On time landing in Amsterdam but the usual long taxi then clumsy jet bridge connection ended up with a 20 minute late arrival, why is it so hard to connect a jetbridge in Amsterdam? Flying club in BA is still wonderful. I Love it!",10,Netherlands
12,2023-03-29,"✅ Trip Verified |  Very poor service, very frustrating. Firstly my flight to LHR was cancelled on 16 Mar23, while I got a text message to inform me, the information desk was unable to confirm if was correct or scam. Once this was confirmed, I went to the counter to get my new boarding pass. At the counter they informed me that the coach will be leaving in 15mins for the hotel. We (me and other fellow travelers) waited for over 45mins, there was no one at the coach stand to guide us or answer any questions. The transfer hotel was 30 mins away from the airport. When we got to the hotel which is around 10:15pm the staff informed that dinner closes at 10:30. that was a rush. It appeared more of a Motel than an hotel. The room - was smelling of weed, being a non-smoker this was uncomfortable. Although I wanted to compromise and rest, when I went to wash my face, the tap on the sink came off in my hands, I panicked and asked the reception staff to change my room. After some discussion, they agreed to change it. I went to the alternate room, to my horror, it was occupied. I asked the staff to call a cab, and I left. ",1,United Kingdom
13,2023-03-27,"Not Verified |  Generally poor. Sent to gate on time, sat maybe 30 minutes, was then announced as crew were not familiar with the A321 there would be a delay. Clearly nonsense and there was a retraction on board of this statement. Watched the crew walk through to the gate, my impression was they did not want to be there. Was given a miniscule amount of water, small bag of pretzels and then it was announced there would be a wait for any further cabin service as card processing machines were u/s. No further updates or sight of crew for next two hours, then attempted to charge us for even a glass of water. When I said this should be complimentary, girl said it was not her problem and walked away.",3,United Kingdom
14,2023-03-26,"Not Verified |  BA changed our prepaid seats at the last minute and charged us to select new seats. Flight took off late, cabin crew served a tiny packet of pretzels. Arrived at Heathrow late, put on a remote stand, loaded onto buses to terminal. Held up at transit security by a clown of a member of staff, allowed 15 passengers at a time because of a trial. Queued at security for 20 minutes. ",1,United Kingdom
15,2023-03-26,Not Verified |  Flew from London Heathrow to Marrakech. BA changed our pre paid seats at the last minute and even charged us to select other seats. Boarding was chaos. Staff were rude demanding selected passengers put their hand luggage in the hold. I had one small bag however they never demanded other passengers with 2/3 bags and some with hand luggage that was obviously too big. Flight was late taking off and the snack was a miserable tiny packet of cheese pretzels. This airline is going downhill rapidly.,1,United Kingdom
16,2023-03-21,"Not Verified | I was meant to fly in January to Algeria. I paid over £300 for the ticket. Just a few days before I was meant to fly, my wife broke her foot. I had to then rebook it in March and pay another £100. I called British Airways 3 weeks before my flight in March and I told them again that it had to me rebooked, as my wife was still not well. They told me that I don’t have to pay anything to get it rebooked as I sent them a letter from the hospital saying my wife wasn’t well. However, they never sent me the ticket. They made me wait for nearly 4 weeks and they asked me to pay either £316 on top of the £450 that I paid previously. Or the second option they gave me is to get a refund of £80. (Tax only). I found it ridiculous that they told me to pay a fraction of the money I previously paid. Each time I call them, they hang up on me; or they continue telling me to pay £360. I made a complaint, and nothing happened.",1,United Kingdom
17,2023-03-21,"✅ Trip Verified |  We have flown repeatedly with British Airways and the One World alliance over the last few weeks. Every flight was delayed. Now we are back at the airport in Miami and have another massive delay so we will miss our connecting flight. Finally, our luggage arrived in Puerto Rico with a 3-day delay and we had to reschedule our round trip ... we haven't received any information about our luggage to this day, luckily we checked it ourselves at the airport and it was there. The last delayed flight meant the cabin crew that they too miss their connecting flights and we are on the same plane and they can't do anything.  Wir sind in den letzten Wochen immer wieder mit Britisch Airways und dem One World Zusammenschluss geflogen. Jeder Flug war verspätet. Nun sitzen wir wieder in Miami am Flughafen und haben schon wieder eine massive Verspätung sodass wir unseren Anschlussflug verpassen werden. Zuletzt ist auch unser Gepäck mit 3 Tagen Verspätung in Puerto Rico angekommen und wir mussten unseren Rundreise umplanen… wir haben bis heute noch keine Info über unser Gepäck erhalten, zum Glück haben wir selbst am Flughafen nachgesehen und es war da… Beim letzten verpspäteten Flug meinte die Kabinen Crew dass auch sie ihre Anschlussflüge verpassen und wir im selben Flugzeug sitzen und sie können nichts machen. ",1,Austria
18,2023-03-20,"✅ Trip Verified |  I was horrified by the extremely small seats and the poor training that the crew clearly receives. Not one of them exuded any kind of warmth or expressed any desire to make our journey pleasant. The seats were so narrow that regardless of the size of your neighbors you are forced to touch each other constantly, if the seat in front of you is reclined you have no choice but to recline your own, or else you are breathing in the head/ scalp of the person in front of you. Food was revolting, they don't even provide napkins unless you ask with the pre-meal drinks and the secondary meal. The last time I flew BA it was a completely other experience and I was so sorry to see how far the quality level has slid. It was really majorly disappointing and I regret that I have already purchased 2 other intercontinental trips with the company. I will now have to see if I can change them. The pathetic 250 ml bottle of water, it's just a sip. On the shorter flights the seats couldn't even be reclined which was a great pity since the flight was delayed by almost 3 hours and we had to wait on board.",3,United States
19,2023-03-20,"✅ Trip Verified |  
The worst cabin experience ever: cramped seats, very low cost style and uncomfortable. Could suit for short flights but not for a 5 hours service. Catering is also a shame: 250ml of water + a chocolate bar for a 5 hours service. Will never fly BA again. ",2,France
20,2023-03-18,"✅ Trip Verified | First time flying with British Airways and first time flying to the Americas from India via London Heathrow. I chose Premium Economy at a reasonable price. I was quite comfortable, however, the first leg of the flight from Mumbai to Heathrow, the plane was a bit outdated and there was only a foot rest. The second leg, from Heathrow to Nassau, the plane was brand new and my premium economy seat had a pop up leg support which was much more comfortable. Cabin service was fine - I appreciated that they didn't come through the cabin often while everyone was sleeping. The meals weren't that great to be honest. After landing in Heathrow, we had to wait on the tarmac for 45 minutes waiting for an open gate. My connection was less than an hour long! The BA staff in the Heathrow Airport helped me move through security quickly and I made it with time to spare for my next flight. When I arrived in Nassau, I found that my luggage didn't make it due to the short connection time in London. The BA baggage representative in Nassau was extremely professional and took down my claim. My luggage arrived on the next BA flight a few days later, and British Airways Nassau representative delivered it over to a charter airline which shipped it to the island I was staying on. Very impressive and efficient!",8,India
21,2023-03-18,✅ Trip Verified |  The latest affront. Stood in first class line for an hour. Finally go up front and the BA agent let 4 supposed VIPS with 12-14 large to-be-checked bags in front of all of us. Arrogant and unapologetic. Add this to a long list of post-Covid disappointments. We are done with BA.,3,United States
22,2023-03-17,"Not Verified |  Booked a flight return flight between London and Munich for 3/11 to 3/17 in December. The return flight was cancelled and re-booked from 3/17 to 3/12. British Airways only notified me of the first change, but not the second. Getting the flight reinstated took multiple phone calls on both occasions. Each time needing to find a helpful representative. British Airway employees told me that even though they cancelled my flight they did not have to refund the ticket. They tried to charge an $800 change fee. Through repeatedly calling back, British Airways reinstated my 3/17 flight on 2/20 and then again on 3/6. To make sure it did not get changed again, i checked the status of my ticket daily from 3/12 to 3/15. It was intact those days. On 3/16 when it was time to check-in for the flight, it was gone. At the airport the staff at the British Airways check-in counter are not BA employees, so cannot help resolve problems. There are no BA representative at the Munich Airport. The confirmation documentation from British Airways was of no value. I was left stranded at the airport.",1,United States
23,2023-03-17,"✅ Trip Verified |  I tried to check in on line and was informed that this was not possible. I was given no reason for this. I telephoned BA customer service and must have wasted nearly 2 hours being given wrong phone numbers and incorrect information. Staff need customer training, better knowledge of their product, and some manners. BA customer service was virtually non existent. I will never fly with them again.",1,Netherlands
24,2023-03-16,"✅ Trip Verified |  A catalogue of failures. We flew from Belfast to Heathrow a week ago and the flight was delayed by over three and a half hours. We missed our onward Air Canada flight to Calgary as a result. On arriving in Calgary (after re-routing via Vancouver which added over 6 hours to our journey) we met other passengers who had also missed the same Air Canada flight as their British Airways flight from Manchester had also been delayed by several hours. We are now on our way home only to find our Heathrow to Belfast flight, which had already been cancelled and put back 2 hours, is now delayed by another 2 hours. Avoid British Airways like the plague.",1,United Kingdom
25,2023-03-15,"✅ Trip Verified |  
Our flight out to Dubrovnik was at the painful time of 6:30 in the morning and from London Gatwick, not an easy airport to get to at that hour especially as you have to be at the airport minimum 2hrs before to be ready to board. I understand why the likes of easyJet, Ryanair or Wizzair fly at very odd times to utilise cheaper slots at airports, but it seems an odd choice for BA given most people like us who fly with them choose them based on quality not on price alone. Outbound LGW-DBV: Boarding was fairly quick, easy and efficient and we took off on time. Pilot announcements clear, professional and inspired confidence which is something I appreciate and expect of BA pilots. Aircraft was clean and it had not been through the recent refurbishment program yet so had the advantage of having the 'Pinnacle' seats in economy still with more padding and adjustable winged headrests for better comfort. Complimentary Harrogate Mineral water given as usual which is a premium touch, complimentary snack of a Nutrigain bar was poor and not premium however. Cabin crew felt very unpolished in both presentation and behaviour - messy ill-fitting uniforms and unclassy make-up. Toilets clean and maintained, appreciate anti-bacterial wipes being kept available post-covid. Inbound DBV-LGW: For some reason no online or app check-in available, despite Dubrovnik Airport being a very modern airport with state of the art facilities. No queue at manual check-in though, and ground staff were very warm, friendly and helpful. Pro-actively offered to take our larger hand-luggage into hold free of charge, but we decided to keep with us as we would have to dash for train home from airport and trains on the other end were being cancelled already. We did not understand the delay to our flight as the inbound flight for that day had took off on time and landed on time. Also we travelled to Dubrovnik out of season, and the airport was empty at that hour, with all services being available solely for this flight taking off that evening. All the passengers in the terminal at that time including us were there to take this flight. We boarded on time and then we all sat at the gate for 15 minutes for no reason. It's truly bizarre how BA managed to take off late when all the services at the airport were operating and live solely for the purpose of enabling this flight to take off. Pilots for this flight were unpolished, with unclear announcements - during the flight one couldn't even remember where we flying back to! No apology for delay. Cabin crew a bit smarter presented and seemed more approachable. Harrogate water given out and the worlds tiniest bag of pretzels complimentary. Seats for this flight were horrendous and the new 'slimline' ones BA are installing from row 14 onwards. These seats have barely any padding, so very hard and also have no headrests so very hard to get comfortable. We landed 55 minutes late in Gatwick and again no apology was given - we were lucky to catch the last uncanceled train home otherwise we'd been stranded for hours. We'd spent half an hour circling Gatwick because we missed our original landing slot. Given 7 because in the context of the short-haul market thats what they deserve - we fly BA as we don't fly the low-cost carriers after so many bad experiences, but it's by no measure good, just the least bad option. Given 1 point extra solely for giving something complimentary onboard.",7,United Kingdom
26,2023-03-15,"Not Verified |  If I could give a minus rating, I would. Supposed to be LHR-AMS at 14.05 on 13th March. Get to LHR at 12.00, email to say flight cancelled. No one able to help at LHR, said to use the app. Only halfway sensible option was from LCY-AMS at 17.05, so taxi over there as trains from LHR not working (ok, not BA's fault). Get to LCY, showing as cancelled on screen, so check the app and there it is. Rebook again via the app to the 15.30 departure, go to desk to drop bag and was told that I was only on standby for the flight, with no guarantee of a seat, despite the app telling me it was confirmed. The 18.35 to AMS was already overbooked so was moved onto the 19.30 flight to Rotterdam. The 15.30 and 18.35 were both cancelled anyway, as it happened. Eventually took off and the best thing I can say is that it landed intact. Return from AMS-LHR, similar story. Arrive at AMS, screen shows the 21.00 is cancelled. Quickly check app, and confirmed it was. No emails, no texts, nothing. Rebooked via app to the 22.00 departure, so could have been worse. Desk agent helpfully printed me a boarding card as the app was unable to issue anything for a rebooked flight. Overall, dreadful. They just don't care and hide behind apps and automated call centres. Avoid unless you have no other option, and even then stop and consider if you 'really' need to go.",1,United Kingdom
27,2023-03-15,"✅ Trip Verified | Plane was over an hour late leaving, no problem that can happen. But on arrival at Heathrow, the plane sits on the runway for 45 minutes as there was no free stand to go to. Then once at the stand we waited another 45 minutes as there was no bridge available to enable us to get off the plane. Just pathetically inefficient.",2,United Kingdom
28,2023-03-14,"Not Verified |  We were flying World Traveller Plus their Premium service. What it was not was Premium. We have travelled with many airlines and lucky enough to fly Premium most times. BA's premium is the worst I have come across. The flight from Heathrow to JFK was just ok, the flight back was in a plane that should not be used. Old, dirty, uncomfortable with two broken seats out of the four we had, one would not recline and one reclined without using the button. BA needs to look at the Premium service and offer exactly that instead of trying to cut costs. They have fallen far behind their competitors, they were once my preferred airline but now I try and avoid at all costs. I would rather pay more and fly with someone else.",2,United Kingdom
29,2023-03-13,Not Verified |  This was literally one of the worst experiences. I haven’t been to an airport since. It began in Orlando flying back the flight plan system went down and we were stuck on the tarmac for 6 hours. Poor customer service and just ignored at times. Then missed my connecting flight and we were told not to leave the baggage area without our bags. Even though I booked through to Dublin. Another 4 hours I was told my bags were lost and to continue to the desk to book a flight. Another hour later I was handed a card with a number and told to ring it. I was cut off three times and told I wouldn’t be able to get home that day despite several flights being available. Just booked my own flight and had lost my suit and presents for Christmas and missed an engagement party.,1,Ireland
30,2023-03-12,"✅ Trip Verified |  The usual shambolic unfolding that BA has now unfortunately been come to known for. We had a long weekend flight booked to Munich that was supposed to be departing on 9th February at 19:55. This happened to be our first flight with our newborn (3 month old) daughter. It turned out to be a horror show of incompetence. Just under 3hrs before scheduled departure, the original 9th February flight was cancelled. We received an email as we were boarding the Heathrow express. I’d booked a day of holiday off work for this trip. We ended up getting doing a round trip to Paddington instead. On the way back from the cancelled flight, both me and my wife tried calling BA. Despite one of us having silver membership (possibly the largest joke of a membership currently out there), I took us nearly 45 minutes to speak to someone who could help. I believe BA outsource their call centres and so you end up talking to people who are following a script. The result is that you might as well be speaking to an AI rather than a human. We often received the response similar to ‘computer says no’. If this is the service level for silver members I can’t imagine what a regular punter has to put up with. When the phone originally connected to a person, I had to wait 5 minutes as his computer booted up. - BA then proceeded to auto-book us onto a new flight for the next day but going to a different destination. Our original flight was to Munich and the auto-booked replacement flight was to Salzburg. When asking the robot at the BA call centre why they booked us on a replacement flight to a location 135km apart, they couldn’t understand my frustration.  Eventually, someone was able to book us onto a flight the following day at 17:00. Not ideal as I’d wasted a valuable day off work and the hotel wouldn’t refund us or move our booking, but at least we were going to Munich and not Salzburg. - The day of the new flight came round and, this time, we managed to get all the way to the check in desk. Upon arriving at the check in desk, we were told that our rebooked flight had just been cancelled 4 minutes earlier. No email. No text. No notification ever arrived from BA to tell us that the flight had been cancelled. Incomprehensible as to how this could have possibly happened. The check in person said I should get on the app to rebook. At this point, I didn’t know whether to explode with anger or cry. Luckily, another check in person had an ounce of sympathy and explained to the useless check in person that he could actually rebook us. We were booked onto another flight later that evening (19:55 - BA0958). Unfortunately, that meant 5hrs in the grotty lounge with a 3 month old baby. It appears that everyone now has access to a lounge and so there’s really no difference between the lounge and a hostel, other than you get free stuff in the former. This was not a pleasant experience. We did eventually arrive in Munich and, despite asking, didn’t get our push chair/stroller delivered to the front of the plane. The plane was a characteristically BA dumping ground - they used to give you sanitising wipes so you could clean your seat and tray table down but they seemed to have cut back on this service too. All in all, another shocking BA service. A lost day of holiday and not an an ounce of empathy/sympathy/understanding at all from any of the employees I interacted with.",1,United Kingdom
31,2023-03-12,Not Verified |  Lost my case and took 6 weeks to locate it and still have not replied to me after 8 weeks. I had a business class flight scheduled on Dec 12 2022 … Manchester > Copenhagen -Bangkok and return flight Dec 27 2022 … Bangkok > Stockholm > Manchester. SAS Airlines left Manchester over an hour late due to the weather and air traffic control. When I arrived in Copenhagen to get the connecting flight for Bangkok we were 10 minutes too late and the flight had gone (half of the plane missed it).. SAS Airlines provided me with a new itinerary the same day being … Copenhagen (SAS) > London (BA) > Dubai (Emirates) > Bangkok. I returned from Copenhagen to London and the collected my boarding pass at BA. We were over 2 hours late leaving London due the weather and a passenger being asked to leave the flight. We arrived in Dubai late and was informed the flight had gone. Emirates then informed me that I had to speak with Thai Air to get another flight issued. I spent over an hour phoning Thai Air with nobody picking up the phone. I then spoke with Thai Air Dubai who informed me that they did not have any alternative flights and suggested that I buy a new ticket and then claim the funds back later. I paid £1279.43 for a Kuwait Airways flight out of Dubai > Kuwaiti > Bangkok. Whilst in Dubai I checked with Kuwait Airlines regards my baggage and they informed me that it had not arrived from London and they would locate it and forward to my Bangkok address the following day. My baggage never arrived despite me completing lost baggage forms. I arrived back home yesterday and was informed by BA that they have found my bag in London. ,2,United Kingdom
32,2023-03-10,"✅ Trip Verified |  The incoming and outgoing flight was delayed because French Air Traffic Controllers were on strike so we were routed over Germany, and not BA's fault. O arrival the pilot announced we could not pull onto the stand as no ground crew had showed up to turn on the automatic last metre guidance. It took around 40 minutes to find someone. Then when that was done there was a further delay as there were no ground staff to operate the skybridge. All told we were trapped on the plane for over an hour within metres of our gate. Total disruption, wasted time. Absolutely no excuse for this.",1,United Kingdom
33,2023-03-10,"✅ Trip Verified |  Back in December my family and I as we were getting onto the plane were refused. Even though we had boarding passes and seats allocated and had booked 6 months in advance we were refused. It turns out that someone had not turned up to work and they couldn't let all the passengers on the plane. So quite randomly (not) 9 people were selected and turned away. We were selected as we had no check in luggage and it was easier to boot us off despite them not knowing my circumstances, if I had connecting flights in London etc. I sought compensation from BA (which I was told I could do) and what an absolute nightmare this process has been. They wouldn't acknowledge my complaint for my family until I had an authorisation letter from them saying I could act on their behalf. Even though, I booked and paid for the tickets. So, I uploaded the authorisation letter no less than 10 times. Every time they told me they received it and every time I followed it up they told me they hadn't. There was no other way except to post from Australia to the UK to some office. Eventually, it finally go through to them. I have now chased up the reimbursement four times. Each time they tell me it has been sent and to be patient. Today they tell me that they need to check my account details. So, again, I send them the same information that I have done before. AND I wait patiently for my reimbursement. I am convinced that their business model is for you to get so frustrated you just go away. Well, you know what I won't.",1,Australia
34,2023-03-10,"✅ Trip Verified |  As usual the flight is delayed this week, it already 3 hours and I’m held on a bus waiting to get taken to the plane. I really can’t explain how much I detest British Airways. If it was a cheap budget airline I could accept it, but it’s premium prices for the most unreliable service.",1,United Kingdom
35,2023-03-09,"✅ Trip Verified | A short BA euro trip and this is where BA excel. Clean aircraft, good crew, professional, on time (within LHR standards) and a good value product delivered. Pity the in flight food sales were not a bit more exciting and appealing as more than a few asked about the non existent hot food options. But good overall. Check in self service is great now once you know how to use it with plenty assistance on hand for those who can’t.",8,United Kingdom
36,2023-03-08,"Not Verified |  We are flying Business class for most of our flight and then Premium economy for the balance. In addition to the plane tickets we paid an additional $225/pp for our seats. Now BA is changing planes, they arbitrarily put us in separate seating areas (my wife & I) when we were sitting together before and they want to charge one of us additional $$ to be re-seated next to each other.  They moved our seats away from each other and we shouldn't have to pay for their change of planes and their decision to not have us sitting together! We haven't even flown yet, this airline is horrible.",1,United States
37,2023-03-06,"✅ Trip Verified |  I am in Australia and on Friday night, went online to book a flight from Heathrow to Malpensa (Milan). I did not realise that when I specifically searched for flights to Malpensa it offered options to other airports in Milan. When I received my itinerary by email, it was to another airport in Milan. The itinerary email did not provide any means of contact for changes or advise me of the 24 hour cooling off period. As it was the weekend here I was unable to reach their office until Monday when they advised me there was no refund (other than fees) as I had missed the 24 hour cooling off period. Apparently as the ticket was issued in the UK, I needed to contact them. I have now cancelled the ticket and I will be going out of my way in the future to avoid flying British Airways.",1,Australia
38,2023-03-04,"✅ Trip Verified |  At 7.54 am on the day of travel whilst driving to London Heathrow I received an email advising my flight had been cancelled. I was offered an alternative flight with American Airlines which I had no alternative but to accept as I must travel today. I was flying to LA to see a family member who is end of life. The American Airlines desk downgrade my cabin from premium economy to economy. Tried 3 times BA provide telephone number, total useless, no help, given me wrong email address for sending my complains given to me in the email. I have been a BA frequent flyer for decades and have been a loyal customer. I now find I am travelling 11 hours in Economy without even the possibility of a refund let alone an upgrade. This is completely unacceptable. What has happened to this company? I have had better treatment from Ryanair.",2,United Kingdom
39,2023-03-02,"✅ Trip Verified |  Would happily fly them again. I had a personal emergency and was allowed to reschedule my flights free of charge. Onboard service on LHR-IST was no frills, but JFK-LHR was impeccable: good food, lots of movies/cds on the IFE, open bar service the entire flight. Friendly flight attendants always happy to provide an extra drink/snack.",10,United States
40,2023-03-02,"Not Verified |  Flew premium, only worth the extra money for the bit of extra room. Penny pinching means there’s no other benefit - one drink service on 10 hour flight, no fizz offered before take off, poor food, boarding was badly organised. Food left on tables 30 min before landing with no tea and coffee offered. Few small cups of water passed around but nothing “premium” about this. New planes have been decorated terribly - feels like you’re in a dentist waiting room. Devoid of any personality or joy. Only fly if the only option, only fly premium if it’s not too expensive - seriously not worth much more than economy these days, especially if you’re in the middle 4.",4,United Kingdom
41,2023-02-28,"✅ Trip Verified |  First our morning flight was cancelled and moved to an afternoon flight, understanding sometimes these situations are unavoidable, however it lost us one day's experience in Cairo. We were quite upset when we got onto the plane and were squashed into regular seats, on both flights. As my husband had spasms, he had to stretch his legs across my lap, and not once did ANY of the attendants ask if we were okay as we were clearly struggling. As the service came to us for food, each choice we made we were told, they were all out and we had to settle for what they had left. I did the correct thing once home and sent in my complaints. They responded with a $100 pound voucher for our group.",1,Canada
42,2023-02-27,"✅ Trip Verified |  Although it was a bit uncomfortable flight in an economy, the flight attendants made the flight the best possibly could.  Such a nice and professional crew. Very attentive and looking out for their customers.",8,United Kingdom
43,2023-02-27,"✅ Trip Verified |  Boarding was decently organised. The A380 still has the rather strange configuration in Club World where you neighbour is sitting in the opposite position. The A380 was nearly full, rather poor amenity bag. The welcome drink was ok but then rather long waiting for the aperitive what is made in the pantry. The meal was ok but not great, aside the Champagne no European wines on this flight. Service was friendly but rather slow, no spontaneous refills of drinks offered. Acceptable continental style breakfast. Extremely narrow restrooms without any lotions or similar. It was an acceptable experience, nothing more. After landing 50 minutes waiting for luggage labelled as priority.",6,Belgium
44,2023-02-27,"✅ Trip Verified | Boarding on time and departure on time for a flight to London Heathrow that is very ok, the A320 with rather narrow seats. In business light meal a Caesars salad, a mousse as sweet and choice of drinks - nothing wrong for such a short flight. FA's were very friendly and landing on time.",7,Belgium
45,2023-02-26,"✅ Trip Verified |  My original flight was cancelled just over 2 weeks before my actual flight and although alternative flights were available, British airways affected the trip I planned. It feels like BA is doing a favour to passengers rather than being paid to deliver the service.",1,United Kingdom
46,2023-02-26,✅ Trip Verified |  Delayed just for a change. Poor communication. British Airways sells premium prices flight tickets and delivers no better than a low cost airline. Customer service is impossible to contact and it seems BA tries hard to hide any possible email communication address when it's available.,1,United Kingdom
